 
Mass percent  	      Group : Nico          	  Sample : JEN1209         	 Page 	  1 	 
 
   No. 	   Na2O  	   Al2O3 	   FeO   	   CaO   	   SiO2  	   MgO   	   K2O   	  Total  	Comment  
  451  	   6.166 	   8.218 	   9.583 	  12.886 	  54.435 	   7.466 	   0.001 	  98.755 	Line 99 JEN1203_Line2_neu2 
  452  	   6.298 	   8.416 	   9.657 	  12.745 	  54.604 	   7.269 	   0.000 	  98.989 	Line 100 JEN1203_Line2_neu2 
  453  	   6.368 	   8.415 	   9.514 	  12.745 	  54.682 	   7.347 	   0.000 	  99.071 	Line 101 JEN1203_Line2_neu2 
  454  	   6.310 	   8.498 	   9.615 	  12.730 	  54.519 	   7.348 	   0.000 	  99.020 	Line 102 JEN1203_Line2_neu2 
  455  	   6.243 	   8.408 	   9.686 	  12.735 	  54.670 	   7.186 	   0.002 	  98.930 	Line 103 JEN1203_Line2_neu2 
  456  	   6.070 	   8.316 	   9.599 	  12.715 	  54.739 	   7.364 	   0.000 	  98.803 	Line 104 JEN1203_Line2_neu2 
  457  	   6.231 	   8.397 	   9.779 	  12.623 	  54.359 	   7.341 	   0.003 	  98.733 	Line 105 JEN1203_Line2_neu2 
  458  	   6.149 	   8.138 	   9.690 	  12.751 	  54.226 	   7.384 	   0.009 	  98.347 	Line 106 JEN1203_Line2_neu2 
  459  	   6.116 	   8.360 	   9.697 	  12.613 	  54.366 	   7.364 	   0.000 	  98.516 	Line 107 JEN1203_Line2_neu2 
  460  	   6.233 	   8.389 	   9.614 	  12.555 	  54.170 	   7.264 	   0.001 	  98.226 	Line 108 JEN1203_Line2_neu2 
  461  	   6.181 	   8.487 	   9.493 	  12.622 	  54.389 	   7.264 	   0.003 	  98.439 	Line 109 JEN1203_Line2_neu2 
  462  	   6.425 	   8.470 	   9.517 	  12.602 	  54.720 	   7.345 	   0.000 	  99.079 	Line 110 JEN1203_Line2_neu2 
  463  	   6.431 	   8.541 	   9.522 	  12.668 	  54.494 	   7.316 	   0.000 	  98.972 	Line 111 JEN1203_Line2_neu2 
  464  	   6.156 	   8.362 	   9.593 	  12.690 	  54.664 	   7.311 	   0.004 	  98.780 	Line 112 JEN1203_Line2_neu2 
  465  	   6.484 	   8.578 	   9.626 	  12.525 	  55.089 	   7.238 	   0.005 	  99.545 	Line 113 JEN1203_Line2_neu2 
  466  	   6.113 	   8.312 	   9.576 	  12.673 	  54.607 	   7.362 	   0.000 	  98.643 	Line 114 JEN1203_Line2_neu2 
  467  	   6.437 	   8.408 	   9.568 	  12.722 	  54.672 	   7.388 	   0.000 	  99.195 	Line 115 JEN1203_Line2_neu2 
  468  	   6.287 	   8.484 	   9.549 	  12.610 	  54.461 	   7.378 	   0.000 	  98.769 	Line 116 JEN1203_Line2_neu2 
  469  	   6.317 	   8.657 	   9.253 	  12.494 	  54.575 	   7.350 	   0.000 	  98.646 	Line 117 JEN1203_Line2_neu2 
  470  	   6.425 	   8.824 	   9.433 	  12.337 	  54.884 	   7.226 	   0.000 	  99.129 	Line 118 JEN1203_Line2_neu2 
  471  	   6.599 	   9.165 	   8.819 	  12.100 	  55.096 	   7.282 	   0.003 	  99.064 	Line 119 JEN1203_Line2_neu2 
  472  	   6.813 	   9.081 	   8.774 	  12.133 	  54.935 	   7.262 	   0.003 	  99.001 	Line 120 JEN1203_Line2_neu2 
  473  	   6.530 	   8.957 	   8.970 	  12.154 	  54.978 	   7.304 	   0.000 	  98.893 	Line 121 JEN1203_Line2_neu2 
  474  	   6.544 	   8.793 	   9.281 	  12.190 	  54.755 	   7.326 	   0.000 	  98.889 	Line 122 JEN1203_Line2_neu2
  491  	   6.302 	   8.105 	   9.764 	  12.647 	  54.611 	   7.460 	   0.012 	  98.901 	Line 139 JEN1203_Line2_neu2 
  492  	   6.186 	   8.187 	   9.506 	  12.485 	  54.038 	   7.162 	   0.006 	  97.570 	Line 140 JEN1203_Line2_neu2 
  493  	   6.251 	   8.206 	   9.711 	  12.519 	  54.616 	   7.312 	   0.007 	  98.622 	Line 141 JEN1203_Line2_neu2 
  494  	   6.143 	   8.179 	   9.766 	  12.412 	  54.384 	   7.254 	   0.012 	  98.150 	Line 142 JEN1203_Line2_neu2 
  495  	   6.466 	   8.515 	   9.779 	  12.450 	  54.628 	   7.319 	   0.001 	  99.158 	Line 143 JEN1203_Line2_neu2 
  496  	   6.391 	   8.566 	   9.684 	  12.280 	  54.974 	   7.203 	   0.000 	  99.098 	Line 144 JEN1203_Line2_neu2 
  497  	   6.317 	   8.753 	   9.331 	  12.342 	  54.668 	   7.333 	   0.000 	  98.744 	Line 145 JEN1203_Line2_neu2 
  498  	   6.385 	   8.691 	   9.229 	  12.317 	  54.795 	   7.328 	   0.000 	  98.745 	Line 146 JEN1203_Line2_neu2 
  499  	   6.754 	   8.969 	   9.194 	  12.165 	  54.733 	   7.279 	   0.000 	  99.094 	Line 147 JEN1203_Line2_neu2 
  500  	   6.538 	   8.818 	   9.223 	  12.220 	  54.828 	   7.313 	   0.009 	  98.949 	Line 148 JEN1203_Line2_neu2 
  501  	   6.753 	   9.506 	   8.921 	  11.759 	  54.851 	   7.046 	   0.003 	  98.839 	Line 149 JEN1203_Line2_neu2 
  502  	   6.877 	   9.464 	   8.881 	  11.735 	  55.029 	   7.026 	   0.002 	  99.014 	Line 150 JEN1203_Line2_neu2 
 
Minimum	   0.002 	   5.434 	   3.246 	   0.056 	  26.093 	   3.541 	   0.000 	  71.295  
Maximum	   7.517 	  27.931 	  29.921 	  14.190 	  56.946 	  13.466 	   9.488 	 100.618  
Average	   6.241 	   8.760 	  10.312 	  11.784 	  53.798 	   7.610 	   0.078 	  98.584  
Sigma  	   1.126 	   2.400 	   3.627 	   2.569 	   4.288 	   0.993 	   0.732 	   2.330  
"No. of data"   502 
