 
Mass percent  	      Group : Nico          	  Sample : JEN1203         	 Page 	  1 	 
 
   No. 	   Na2O  	   MgO   	   FeO   	   CaO   	   SiO2  	   Al2O3 	  Total  	Comment  
  146  	   6.469 	   7.623 	  17.547 	   0.987 	  56.313 	   8.905 	  97.844 	Line 96 JEN1203_new2 
  147  	   6.335 	   7.749 	  17.637 	   0.906 	  56.166 	   8.549 	  97.342 	Line 97 JEN1203_new2 
  148  	   6.287 	   7.778 	  17.597 	   0.862 	  56.213 	   8.642 	  97.379 	Line 98 JEN1203_new2 
  149  	   6.560 	   7.757 	  17.133 	   0.841 	  56.136 	   8.865 	  97.292 	Line 99 JEN1203_new2 
  150  	   6.340 	   7.642 	  17.046 	   0.824 	  56.327 	   9.002 	  97.181 	Line 100 JEN1203_new2 
 
Minimum	   0.028 	   5.441 	   9.132 	   0.054 	  27.343 	   8.549 	  87.513  
Maximum	   6.868 	  15.126 	  27.904 	   3.231 	  57.956 	  20.663 	  99.343  
Average	   6.347 	   8.188 	  15.721 	   0.864 	  56.030 	  10.382 	  97.533  
Sigma  	   0.901 	   1.248 	   2.351 	   0.498 	   3.878 	   1.789 	   1.404  
"No. of data"   220 
